Body,Score,ParentId
"<p>Use the <code>toArray()</code> method of the ArrayList class and pass it into the constructor of the <code>JComboBox</code></p>

<p>See the <a href=""http://java.sun.com/j2se/1.5.0/docs/api/javax/swing/JComboBox.html#JComboBox(java.lang.Object[])"" rel=""noreferrer"">JavaDoc</a> and <a href=""http://java.sun.com/docs/books/tutorial/uiswing/components/combobox.html"" rel=""noreferrer"">tutorial</a> for more info.</p>
","23","1291704"
"<p>If you don't want duplicates in a <code>Collection</code>, you should consider why you're using a <code>Collection</code> that allows duplicates. The easiest way to remove repeated elements is to add the contents to a <code>Set</code> (which will not allow duplicates) and then add the <code>Set</code> back to the <code>ArrayList</code>:</p>

<pre><code>Set&lt;String&gt; set = new HashSet&lt;&gt;(yourList);
yourList.clear();
yourList.addAll(set);
</code></pre>

<p>Of course, this destroys the ordering of the elements in the <code>ArrayList</code>.</p>
","1011","203984"
"<p>If you want the array of items to expand (i.e. if you don't know what the size of the list will be beforehand), a List will be beneficial. However, if you want performance, you would generally use an array.</p>
","0","1589813"
"<p>If you don't want duplicates, use a <a href=""http://java.sun.com/javase/6/docs/api/java/util/Set.html"" rel=""noreferrer"">Set</a> instead of a <code>List</code>. To convert a <code>List</code> to a <code>Set</code> you can use the following code:</p>

<pre><code>// list is some List of Strings
Set&lt;String&gt; s = new HashSet&lt;String&gt;(list);
</code></pre>

<p>If really necessary you can use the same construction to convert a <code>Set</code> back into a <code>List</code>.</p>
","53","203984"
"<p>Pretty much always prefer a list. Lists have much more functionality, particularly iterator support. You can convert a list to an array at any time with the toArray() method.</p>
","7","1589813"
"<p>It depends on what kind of List.</p>

<p>It's better to use a LinkedList if you know you'll be inserting many elements in positions other than the end. LinkedList is not suitable for random access (getting the i'th element).</p>

<p>It's better to use an ArrayList if you don't know, in advance, how many elements there are going to be. The ArrayList correctly amortizes the cost of growing the backing array as you add more elements to it, and is suitable for random access once the elements are in place. An ArrayList can be efficiently sorted.</p>
","1","1589813"
"<p>Although converting the <code>ArrayList</code> to a <code>HashSet</code> effectively removes duplicates, if you need to preserve insertion order, I'd rather suggest you to use this variant</p>

<pre><code>// list is some List of Strings
Set&lt;String&gt; s = new LinkedHashSet&lt;&gt;(list);
</code></pre>

<p>Then, if you need to get back a <code>List</code> reference, you can use again the conversion constructor.</p>
","293","203984"
"<p>I see the question as being the opposite- </p>

<p>When should you use an Array over a List? </p>

<p>Only you have a specific reason to do so (eg: Project Constraints, Memory Concerns (not really a good reason), etc.)</p>

<p>Lists are much easier to use (imo), and have much more functionality. </p>

<p>Note: You should also consider whether or not something like a Set, or another datastructure is a better fit than a List for what you are trying to do.</p>

<p>Each datastructure, and implmentation, has different pros/cons. Pick the ones that excel at the things that you need to do.</p>

<p>If you need get() to be O(1) for any item? Likely use an ArrayList, Need O(1) insert()? Possibly a Linked List. Need O(1) contains()? Possibly a Hashset.</p>

<p><strong>TLDR: Each data structure is good at some things, and bad at others. Look at your objectives and choose the data structure that best fits the given problem.</strong></p>

<p>Edit: </p>

<blockquote>
  <p>One thing not noted is that you're
  better off declaring the variable as
  its interface (i.e. List or Queue)
  rather than its implementing class.
  This way, you can change the
  implementation at some later date
  without changing anything else in the
  code. </p>
  
  <p>As an example: </p>
</blockquote>

<pre><code>List&lt;String&gt; myList = new ArrayList&lt;String&gt;(); 
</code></pre>

<blockquote>
  <p>vs</p>
</blockquote>

<pre><code>List&lt;String&gt; myList = new LinkedList&lt;String&gt;(); 
</code></pre>

<blockquote>
  <p>Note that myList is a List in both examples.
  --<strong>R. Bemrose</strong></p>
</blockquote>
","41","1589813"
"<p>As said before, you should use a class implementing the Set interface instead of List to be sure of the unicity of elements. If you have to keep the order of elements, the SortedSet interface can then be used; the TreeSet class implements that interface.</p>
","1","203984"
"<p>In many cases the type of collection used is an implementation detail which shouldn't be exposed to the outside world. The more generic your returntype is the more flexibility you have changing the implementation afterwards.</p>

<p>Arrays (primitive type, ie. new int[10]) are not generic, you won't be able to change you implementation without an internal conversion or altering the client code. You might want to consider Iterable as a returntype.</p>
","0","1589813"
"<p>If you know how many things you'll be holding, you'll want an array.  My screen is 1024x768, and a buffer of pixels for that isn't going to change in size <em>ever</em> during runtime.</p>

<p>If you know you'll need to access specific indexes (go get item #763!), use an array or array-backed list.</p>

<p>If you need to add or remove items from the group regularly, use a linked list.</p>

<p><strong><em>In general, dealing with hardware, arrays, dealing with users, lists.</em></strong></p>
","2","1589813"
"<p>Probably a bit overkill, but I enjoy this kind of isolated problem. :)</p>

<p>This code uses a temporary Set (for the uniqueness check) but removes elements directly inside the original list. Since element removal inside an ArrayList can induce a huge amount of array copying, the remove(int)-method is avoided.</p>

<pre><code>public static &lt;T&gt; void removeDuplicates(ArrayList&lt;T&gt; list) {
    int size = list.size();
    int out = 0;
    {
        final Set&lt;T&gt; encountered = new HashSet&lt;T&gt;();
        for (int in = 0; in &lt; size; in++) {
            final T t = list.get(in);
            final boolean first = encountered.add(t);
            if (first) {
                list.set(out++, t);
            }
        }
    }
    while (out &lt; size) {
        list.remove(--size);
    }
}
</code></pre>

<p>While we're at it, here's a version for LinkedList (a lot nicer!):</p>

<pre><code>public static &lt;T&gt; void removeDuplicates(LinkedList&lt;T&gt; list) {
    final Set&lt;T&gt; encountered = new HashSet&lt;T&gt;();
    for (Iterator&lt;T&gt; iter = list.iterator(); iter.hasNext(); ) {
        final T t = iter.next();
        final boolean first = encountered.add(t);
        if (!first) {
            iter.remove();
        }
    }
}
</code></pre>

<p>Use the marker interface to present a unified solution for List:</p>

<pre><code>public static &lt;T&gt; void removeDuplicates(List&lt;T&gt; list) {
    if (list instanceof RandomAccess) {
        // use first version here
    } else {
        // use other version here
    }
}
</code></pre>

<p>EDIT: I guess the generics-stuff doesn't really add any value here.. Oh well. :)</p>
","12","203984"
"<p>Rules of thumb:</p>

<ul>
<li>Use a <code>List</code> for reference types.</li>
<li>Use arrays for primitives.</li>
<li>If you have to deal with an API that is using arrays, it might be useful to use arrays. OTOH, it may be useful to enforce defensive copying with the type system by using <code>List</code>s.</li>
<li>If you are doing a lot of <code>List</code> type operations on the sequence and it is not in a performance/memory critical section, then use <code>List</code>.</li>
<li>Low-level optimisations may use arrays. Expect nastiness with low-level optimisations.</li>
</ul>
","17","1589813"
"<p>Always prefer lists. </p>

<p>Arrays when </p>

<ol>
<li>Varargs for a method ( I guess you are forced to use Arrays here ).</li>
<li>When you want your collections to be covariant ( arrays of reference types are covariant ).</li>
<li>Performance critical code. </li>
</ol>
","4","1589813"
"<p>Most people have answered it already.</p>

<p>There are almost no good reason to use an array instead of List. The main exception being the primitive array (like <code>int[]</code>). You cannot create a primitive list (must have <code>List&lt;Integer&gt;</code>).</p>

<p>The most important difference is that when using List you can decide what implementation will be used. The most obvious is to chose LinkedList or ArrayList. </p>

<p>I would like to point out in this answer that choosing the implementation gives you very fine grained control over the data that is simply not available to array:</p>

<ol>
<li>You can prevent client from modifying your list by wrapping your list in a <code>Collection.unmodifiableList</code></li>
<li>You can synchronize a list for multithreading using <code>Collection.synchronizedList</code></li>
<li>You can create a fixed length queue with implementation of <code>LinkedBlockingQueue</code></li>
<li>... etc</li>
</ol>

<p>In any case, even if you don't want (now) any extra feature of the list. Just use an ArrayList and size it with the size of the array you would have created. It will use an Array in the back-end and the performance difference with a real array will be negligible. (except for primitive arrays) </p>
","10","1589813"
"<p>You can't remove an element from the basic Java array. Take a look at various Collections and ArrayList instead.</p>
","39","642897"
"<p>Sure, create another array :)</p>
","-5","642897"
