Id,Title,Body
"33071859","What is the difference between an array of characters and a single linear array?","<p>I'm new to java and I need help learning nomenclature.</p>
"
"24855711","How can I create a 2D array of 2D char arrays?","<p>I want to create a 2D array [3][3] ; each element should be a 3x3 character array
How can I accomplish this in java?</p>
"
"49313051","Java Generic Matrix creation","<p>I want to create a generic type matrix in java with the dimension size will be randomised.</p>

<p>What is the best way to approach this?</p>
"
"663632","Converting a Bidimensional Array (Numbers) Into A Dimensional Array and Viceversa on Java","<p>I'm in need of help right now. I need to convert 2 dimensional array of numbers to a one dimensional array in Java. Can anyone help me?</p>
"
"705288","Java array: direct access to component in array","<p>Am I able to access an array component directly such as:</p>

<p>String x = args[1] ?</p>

<p>or do I have to use a loop and use args[i] ?</p>
"
"33484725","I'm trying to create an arrayList that could accept both integers and array","<p>How do I create a generic array list in Java that could accept both integers and array?</p>

<pre><code>[123,[],112,[],10]
</code></pre>
"
"1200621","How do I declare and initialize an array in Java?","<p>How do I declare and initialize an array in Java?</p>
"
"17540251","Getting top 3 highest values in arraylist?","<p>I have an arraylist filled with integers. I just need a way to get the top three integers in the arraylist.</p>
"
"1589813","When to use a List over an Array in Java?","<p>In Java, when would it be preferential to use a List rather than an Array?</p>
"
"2795350","How to put a Scanner input into an array... for example a couple of numbers","<pre><code>Scanner scan = new Scanner(System.in);
double numbers = scan.nextDouble();
double[] avg =..????
</code></pre>
"
"33089567","Setting an array as an input parameter for a method","<p>How would I write a method that takes an array of the double data type as input. What variables would I need to declare?</p>
"
"50784740","Is it possible in java to insert arithmetic operator(+ - / * ) in an array?","<p>I'm working on a calculator app..so i'm thinking is there any way out to store arithmetic operator in an array</p>
"
"26403523","Is it possible to store all bytes from file to array of bytes?","<p>Just as the title, is it possible to store all bytes from file to array of bytes without getting java heap space error?</p>
"
"1034473","Java Iterate Bits in Byte Array","<p>How can i iterate bits in a byte array?</p>
"
"1035107","Is it more efficient to remove elements from an ArrayList or a LinkedList?","<p>In theory, is it more efficient to remove elements from an <code>ArrayList</code> or a <code>LinkedList</code>?</p>
"
"1090556","Java: how to convert HashMap<String, Object> to array","<p>I need to convert a <code>HashMap&lt;String, Object&gt;</code> to an array; could anyone show me how it's done?</p>
"
"17440349","how to print list of buffered image in java","<p>Is there any way to print list of(multiple) buffered image in a single printjob ? Thanks in advance.</p>
"
"1264709","Convert InputStream to byte array in Java","<p>How do I read an entire <code>InputStream</code> into a byte array?</p>
"
"1672259","Final arraylist declaration","<p>When I declared final arraylist(), then can I perform insert,search and update operation in that arraylist or not.</p>
"
"34110553","Java.util.Arrays.sort - what type?","<p>What type of search is Java.util.Arrays.sort()?  Not important but I was just curious.  Thanks in advance!</p>
"
"41007357","How to display a string array to a JPanel?","<p>I have a string array that I want to display to a JPanel. How do I implement this?</p>
"
"8267348","How to create a list with specific size of elements","<p>Say, I want to create a list quickly which contains 1000 elements. What is the best way to accomplish this?</p>
"
"33310553","JAVA MissingFormatArgumentException: Printing an array that is passed in method parameters","<p>Question has been answered already</p>
"
"8549747","Java - How do I make a String array with values?","<p>I know how to make an empty array, but how do I make a <code>String</code> array with values from the start?</p>
"
"25198417","How to find if a field is an enum array using reflection?","<p>I want to find out in Java, using reflection, if a particular field is an array of enums. Does anyone know how to do this?</p>
"
